"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 13 16:53:24 UTC 2026","Wed May 13 16:53:24 UTC 2026","95","Regression API Suite","Regression Test","tests.user.CreateUserTest","tests.user.CreateUserTest","testCreateUser_NullValues","testCreateUser_NullValues",""
"passed","Wed May 13 16:53:21 UTC 2026","Wed May 13 16:53:23 UTC 2026","2161","Regression API Suite","Regression Test","tests.user.GetUserTest","tests.user.GetUserTest","testGetUser_ContentType","testGetUser_ContentType",""
"passed","Wed May 13 16:53:24 UTC 2026","Wed May 13 16:53:24 UTC 2026","340","Regression API Suite","Regression Test","tests.user.CreateUserTest","tests.user.CreateUserTest","testCreateUser_DuplicateEmail","testCreateUser_DuplicateEmail",""
"passed","Wed May 13 16:53:24 UTC 2026","Wed May 13 16:53:24 UTC 2026","135","Regression API Suite","Regression Test","tests.user.GetUserTest","tests.user.GetUserTest","testGetUser_InvalidIds","testGetUser_InvalidIds",""
"passed","Wed May 13 16:53:24 UTC 2026","Wed May 13 16:53:24 UTC 2026","96","Regression API Suite","Regression Test","tests.user.CreateUserTest","tests.user.CreateUserTest","testCreateUser_SpecialCharacters","testCreateUser_SpecialCharacters",""
"passed","Wed May 13 16:53:24 UTC 2026","Wed May 13 16:53:24 UTC 2026","123","Regression API Suite","Regression Test","tests.user.CreateUserTest","tests.user.CreateUserTest","testCreateUser_InvalidEmail","testCreateUser_InvalidEmail",""
"passed","Wed May 13 16:53:21 UTC 2026","Wed May 13 16:53:23 UTC 2026","1772","Regression API Suite","Regression Test","tests.user.GetUserTest","tests.user.GetUserTest","testGetUser_ResponseTime","testGetUser_ResponseTime",""
"passed","Wed May 13 16:53:24 UTC 2026","Wed May 13 16:53:24 UTC 2026","98","Regression API Suite","Regression Test","tests.user.CreateUserTest","tests.user.CreateUserTest","testCreateUser_MissingField","testCreateUser_MissingField",""
"passed","Wed May 13 16:53:24 UTC 2026","Wed May 13 16:53:24 UTC 2026","141","Regression API Suite","Regression Test","tests.user.GetUserTest","tests.user.GetUserTest","testGetUser_InvalidIds","testGetUser_InvalidIds",""
"passed","Wed May 13 16:53:21 UTC 2026","Wed May 13 16:53:24 UTC 2026","2559","Regression API Suite","Regression Test","tests.user.GetUserTest","tests.user.GetUserTest","testGetUser_InvalidIds","testGetUser_InvalidIds",""
"passed","Wed May 13 16:53:23 UTC 2026","Wed May 13 16:53:24 UTC 2026","688","Regression API Suite","Regression Test","tests.user.GetUserTest","tests.user.GetUserTest","testGetUser_ValidEmailFormat","testGetUser_ValidEmailFormat",""
"failed","Wed May 13 16:53:23 UTC 2026","Wed May 13 16:53:24 UTC 2026","702","Regression API Suite","Regression Test","tests.user.GetUserTest","tests.user.GetUserTest","testGetUser_UserNotFound","testGetUser_UserNotFound",""
